language,iso639_3,family,region_group,locality_lambda_per_char,locality_lambda_per_s,half_life_chars,half_life_seconds,memory_cost_bits_char,speech_char_rate_cps,morphology_index,ud_status,D_order,D_structure,ud_morph_feature_density,ud_mean_dependency_distance,locality_lambda_r2,locality_fit_rmse_bits,hilberg_alpha,hilberg_r2,locality_effective_train_chars,locality_effective_valid_chars,locality_eval_positions
Turkish,tur,Turkic,Central Asia / Middle East / North Africa,0.4880924371056811,4.44031833911422,1.4201145681957494,0.15610303758045832,10.260936668155946,9.0972897786425,0.6143621593677137,loaded,0.3880540026888222,0.618211362900235,0.6659201600278309,2.292569281811085,0.9817881805574252,0.0431716253974865,1.5188603456373704,-2.028209266372036,99994,19997,16581
Czech,ces,Indo-European,Eastern Europe,0.4313578669716251,4.062975095682299,1.606895883054663,0.17060089324607206,10.017731978841246,9.419035577597482,0.6038176776946489,loaded,0.36026035208167695,0.549069347399493,0.7439644462659614,3.331367424294257,0.9827825364648876,0.0383495614298501,1.6040653017803497,-4.003722552168052,96869,19995,16393
Tajik,tgk,Indo-European,Central Asia / Middle East / North Africa,0.5696824353917226,4.839008029212672,1.2167255605894298,0.14324158512973648,10.930600963116994,8.494220163002382,,no_matching_treebank,,,,,0.956490173424219,0.078809319506551,1.5333285965299737,-1.201669881196564,99985,19976,16889
Thai,tha,Kra-Dai,South/Southeast Asia,0.5406037682853275,5.29174381728643,1.2821723066386512,0.13098653383326225,10.22433336306164,9.7885810786533,0.963434697654622,loaded,0.0957788682964269,2.523613346534639,0.0050152392317492,2.485171462890592,0.9968635548273054,0.0240786298806536,1.926490010130172,-3.7590953705473726,99972,19974,16466
Tamil,tam,Dravidian,South Asia,0.927763596876372,8.960269791494056,0.7471161650377944,0.0773578471061158,7.734254703572611,9.657923442633248,0.7187910558556193,loaded,0.3280246100462092,0.8384553930855261,0.8702796650339706,2.5950413223140494,0.9957427704410456,0.0312423005508779,1.8709309783980064,0.2541879802592088,100000,19978,17045
Finnish,fin,Uralic,Western Europe,0.5151617522160551,5.065846460230069,1.3454942599644788,0.1368275146121317,8.808560817992852,9.833506541272673,0.9138859070318126,loaded,0.10072203496362553,1.068912707642733,0.6826741555503549,3.1227684237245112,0.954377549260356,0.0619695928518944,1.6223664902739363,-2.5537687668922846,100000,19987,16709
Italian,ita,Indo-European,Western Europe,0.6001733528933706,6.757088491882955,1.1549116221477644,0.10258074633662084,8.39993279592276,11.258561312840309,0.6351178770545032,loaded,0.30044150345948983,0.5229518188391951,0.6072159284658811,3.394085829057789,0.9634526088755324,0.0597544357545936,1.6718923216390802,-1.8951248162105965,99977,19988,17004
Gujarati,guj,Indo-European,South Asia,0.5980859041118722,5.713481567959371,1.1589425127636712,0.12131782912314706,9.225792698897587,9.552944700215944,,no_matching_treebank,,,,,0.994133948818949,0.0282913760491707,1.7157175765882748,-1.7493132141349317,94441,19945,16418
Vietnamese,vie,Austroasiatic,South/Southeast Asia,1.1188520028369358,10.287526527295508,0.6195164139693338,0.06737743797995017,10.244612079332445,9.194716102943634,0.4563804494742411,loaded,0.3712560697068934,0.3116775542730297,0.0,2.7714589423332447,0.9758127026133072,0.077775716409383,1.5663734441641393,0.366463225855259,97203,19988,16652
Polish,pol,Indo-European,Eastern Europe,0.4998216582711093,4.764392725757713,1.3867890058176988,0.14548489607344647,9.790744060820176,9.532185424372804,0.6544732520189546,loaded,0.310327787540988,0.5878017765355157,0.9467582085035556,2.65161263368984,0.970143423785916,0.0538038121358139,1.602266820878759,-2.774119445556724,99982,20000,16809
