language,lag_characters,lag_seconds,information_bits,surprisal_bits,source
Fulah,5,0.8018579313828058,0.1737165825518505,2.4740996730455507,google/fleurs
Fulah,6,0.962229517659367,0.1303851426402387,2.3003830904937,google/fleurs
Fulah,7,1.1226011039359285,0.1123532906681918,2.169997947853461,google/fleurs
Fulah,8,1.2829726902124894,0.0936811782338138,2.0576446571852696,google/fleurs
Fulah,9,1.4433442764890505,0.0713128928923834,1.963963478951456,google/fleurs
Fulah,10,1.6037158627656116,0.052541640482244,1.8926505860590723,google/fleurs
Fulah,11,1.764087449042173,0.0387990172042056,1.840108945576828,google/fleurs
Fulah,12,1.924459035318734,0.0297294036633655,1.8013099283726226,google/fleurs
Fulah,13,2.0848306215952954,0.0222860308344552,1.771580524709257,google/fleurs
Fulah,14,2.2452022078718565,0.0153153669028247,1.7492944938748018,google/fleurs
Fulah,15,2.4055737941484177,0.0115869886880151,1.733979126971977,google/fleurs
Fulah,16,2.5659453804249788,0.0086396679835716,1.722392138283962,google/fleurs
Fulah,17,2.72631696670154,0.0063424395570468,1.7137524703003904,google/fleurs
Fulah,18,2.886688552978101,0.0046360556889828,1.7074100307433435,google/fleurs
Fulah,19,3.047060139254662,0.0034173835228703,1.702773975054361,google/fleurs
Fulah,20,3.2074317255312232,0.0026357049363168,1.6993565915314903,google/fleurs
Occitan,1,0.125390625,1.350940508029841,4.996999992874918,google/fleurs
Occitan,2,0.25078125,0.5886434400824094,3.646059484845077,google/fleurs
Occitan,3,0.376171875,0.5016661964257674,3.057416044762668,google/fleurs
Occitan,4,0.5015625,0.3282142993982231,2.5557498483369003,google/fleurs
Occitan,5,0.626953125,0.1731318959254597,2.227535548938677,google/fleurs
Occitan,6,0.7523437500000001,0.105312339307499,2.054403653013217,google/fleurs
Occitan,7,0.8777343750000001,0.0827298282383948,1.9490913137057184,google/fleurs
Occitan,8,1.003125,0.0664522592553364,1.866361485467324,google/fleurs
Occitan,9,1.128515625,0.0474826187812396,1.7999092262119871,google/fleurs
Occitan,10,1.25390625,0.0378417683108969,1.7524266074307475,google/fleurs
Occitan,11,1.379296875,0.0277721977072191,1.7145848391198506,google/fleurs
Occitan,12,1.5046875000000002,0.0183944813266867,1.6868126414126314,google/fleurs
Occitan,13,1.630078125,0.0147632414384035,1.668418160085945,google/fleurs
Occitan,14,1.75546875,0.0099844830620914,1.653654918647541,google/fleurs
Occitan,15,1.880859375,0.0078898836425196,1.6436704355854497,google/fleurs
Occitan,16,2.00625,0.0067234241691702,1.63578055194293,google/fleurs
Occitan,17,2.131640625,0.0051950858055231,1.6290571277737598,google/fleurs
Occitan,18,2.2570312500000003,0.0035277492987135,1.6238620419682366,google/fleurs
Occitan,19,2.382421875,0.0029719563318111,1.620334292669523,google/fleurs
Occitan,20,2.5078125,0.0023486760671165,1.617362336337712,google/fleurs
Zulu,1,0.1498526168876483,1.5705928905988498,4.867229668401108,google/fleurs
Zulu,2,0.2997052337752966,0.3806995162556119,3.296636777802258,google/fleurs
Zulu,3,0.4495578506629449,0.4022320560503187,2.915937261546646,google/fleurs
Zulu,4,0.5994104675505932,0.3040892392565673,2.513705205496328,google/fleurs
Zulu,5,0.7492630844382415,0.1949755610301968,2.20961596623976,google/fleurs
Zulu,6,0.8991157013258899,0.1275593294210526,2.0146404052095632,google/fleurs
Zulu,7,1.048968318213538,0.0836417698579188,1.8870810757885104,google/fleurs
Zulu,8,1.1988209351011865,0.0573611968797371,1.803439305930592,google/fleurs
Zulu,9,1.3486735519888349,0.0388844642505443,1.7460781090508546,google/fleurs
Zulu,10,1.498526168876483,0.0308786356167598,1.7071936448003102,google/fleurs
Zulu,11,1.6483787857641314,0.0215854224447591,1.6763150091835504,google/fleurs
Zulu,12,1.7982314026517798,0.0176915475147545,1.6547295867387912,google/fleurs
Zulu,13,1.948084019539428,0.0151657121368216,1.637038039224037,google/fleurs
Zulu,14,2.097936636427076,0.0111997614657208,1.621872327087215,google/fleurs
Zulu,15,2.247789253314725,0.0084521072527994,1.6106725656214942,google/fleurs
Zulu,16,2.397641870202373,0.0068077607998058,1.6022204583686948,google/fleurs
Zulu,17,2.547494487090021,0.0045359505459914,1.595412697568889,google/fleurs
Zulu,18,2.6973471039776697,0.0035042054929605,1.5908767470228975,google/fleurs
Zulu,19,2.847199720865318,0.0026153665990722,1.587372541529937,google/fleurs
Zulu,20,2.997052337752966,0.0023052368519556,1.5847571749308649,google/fleurs
Kamba,1,0.1541653238533482,1.4277293551792165,4.913383959795307,google/fleurs
Kamba,2,0.3083306477066964,0.2982640957049871,3.4856546046160903,google/fleurs
Kamba,3,0.4624959715600445,0.3351253692516573,3.187390508911103,google/fleurs
